#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2018        ,          ,    1754.6 ,           ,      32.5870 ,       8.9250 ,       8.9250 ,             
Planck_2018        ,          ,    1784.6 ,           ,      -4.8160 ,       9.7220 ,       9.7220 ,             
Planck_2018        ,          ,    1814.6 ,           ,      28.8330 ,      10.5990 ,      10.5990 ,             
Planck_2018        ,          ,    1844.6 ,           ,       0.3570 ,      11.5620 ,      11.5620 ,             
Planck_2018        ,          ,    1874.6 ,           ,      13.2240 ,      12.6140 ,      12.6140 ,             
Planck_2018        ,          ,    1904.6 ,           ,       5.0510 ,      13.7620 ,      13.7620 ,             
Planck_2018        ,          ,    1934.6 ,           ,      18.8580 ,      15.0140 ,      15.0140 ,             
Planck_2018        ,          ,    1964.6 ,           ,       2.2680 ,      16.3780 ,      16.3780 ,             
Planck_2018        ,          ,    1988.0 ,           ,       4.1080 ,      23.6600 ,      23.6600 ,             
POLARBEAR_2020     ,          ,     525.4 ,           ,       7.3600 ,       0.6400 ,       0.6400 ,             
POLARBEAR_2020     ,          ,     575.3 ,           ,      11.3300 ,       0.8700 ,       0.8700 ,             
POLARBEAR_2020     ,          ,     625.3 ,           ,      26.9600 ,       1.6800 ,       1.6800 ,             
POLARBEAR_2020     ,          ,     675.2 ,           ,      37.7200 ,       2.1900 ,       2.1900 ,             
POLARBEAR_2020     ,          ,     725.4 ,           ,      36.5100 ,       2.1300 ,       2.1300 ,             
POLARBEAR_2020     ,          ,     775.2 ,           ,      21.9800 ,       1.4600 ,       1.4600 ,             
POLARBEAR_2020     ,          ,     825.3 ,           ,      12.2000 ,       1.0900 ,       1.0900 ,             
POLARBEAR_2020     ,          ,     875.2 ,           ,      19.7900 ,       1.4500 ,       1.4500 ,             
POLARBEAR_2020     ,          ,     925.3 ,           ,      28.7900 ,       1.8700 ,       1.8700 ,             
POLARBEAR_2020     ,          ,     975.2 ,           ,      40.7800 ,       2.4300 ,       2.4300 ,             
POLARBEAR_2020     ,          ,    1025.3 ,           ,      34.9500 ,       2.2500 ,       2.2500 ,             
